taxon_oid,Name,IMG_Phylum,IMG_Class,IMG_Order,IMG_Family,IMG_Genus,Institution,Host,Fraction,HostFraction
2636416173,Bacillus_sp._166AMFTsu,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,UNC,Arabidopsis,Root,Arabidopsis_Root
2643221960,Paenibacillus_sp._Soil522,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,MPCologne,Arabidopsis,Soil,Arabidopsis_Soil
2574179748,Bacillus_sp._UNC322MFChir4.1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,UNC,Arabidopsis,Root,Arabidopsis_Root
2643221843,Paenibacillus_sp._Soil750,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,MPCologne,Arabidopsis,Soil,Arabidopsis_Soil
2643221852,Paenibacillus_sp._Soil787,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,MPCologne,Arabidopsis,Soil,Arabidopsis_Soil
2522125150,Bacillus_sp._171095_106,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,UNC,Arabidopsis,Root,Arabidopsis_Root
2636416174,Bacillus_sp._71MF,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,UNC,Arabidopsis,Root,Arabidopsis_Root
2643221536,Paenibacillus_sp._CL97,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,UNC,Arabidopsis,Root,Arabidopsis_Root
2593339199,Paenibacillus_sp._UNC496MF,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,UNC,Arabidopsis,Root,Arabidopsis_Root
2643221488,Bacillus_sp._215MF,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,UNC,Arabidopsis,Root,Arabidopsis_Root
2636416171,Bacillus_sp._5MFCol3.1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,UNC,Arabidopsis,Root,Arabidopsis_Root
2574179747,Bacillus_sp._UNC69MF,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,UNC,Arabidopsis,Root,Arabidopsis_Root
2529292578,Bacillus_sp._UNC437CL72CviS29,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,UNC,Arabidopsis,Root,Arabidopsis_Root
2642422539,Bacillus_sp._CL95,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,UNC,Arabidopsis,Root,Arabidopsis_Root
2636416067,Paenibacillus_sp._453MF,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,UNC,Arabidopsis,Root,Arabidopsis_Root
2643221535,Paenibacillus_sp._CL91,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,UNC,Arabidopsis,Root,Arabidopsis_Root
2636416172,Bacillus_sp._103MF,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,UNC,Arabidopsis,Root,Arabidopsis_Root
2643221702,Paenibacillus_sp._Soil724D2,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,MPCologne,Arabidopsis,Soil,Arabidopsis_Soil
2643221660,Methylibium_sp._Root1272,Proteobacteria,Betaproteobacteria,Burkholderiales,unclassified,Methylibium,MPCologne,Arabidopsis,Root,Arabidopsis_Root
2643221925,Acidovorax_sp._Leaf191,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,ETH,Arabidopsis,Shoot,Arabidopsis_Shoot
2643221672,Variovorax_sp._Root434,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,MPCologne,Arabidopsis,Root,Arabidopsis_Root
2643221592,Rhizobacter_sp._Root16D2,Proteobacteria,Betaproteobacteria,Burkholderiales,unclassified,Rhizobacter,MPCologne,Arabidopsis,Root,Arabidopsis_Root
2713896890,Massilia_sp._Root335,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,MPCologne,Arabidopsis,Root,Arabidopsis_Root
2643221684,Massilia_sp._Root133,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,MPCologne,Arabidopsis,Root,Arabidopsis_Root
2643221648,Rhizobacter_sp._Root1238,Proteobacteria,Betaproteobacteria,Burkholderiales,unclassified,Rhizobacter,MPCologne,Arabidopsis,Root,Arabidopsis_Root
